"date","fti","fam_year_ago","fam_next_year","dk_year_ago","dk_next_year","goods","forbr","vkst_pct"
2000 Q1,-0.666666666666667,2.33333333333333,13,-3.33333333333333,-8,-6.33333333333333,182814,0.00696226934728725
2000 Q2,4.33333333333333,7.33333333333333,15,2,-0.666666666666667,-2,182879,0.0138990530681037
2000 Q3,3,6.33333333333333,15,1.66666666666667,-1,-8,183329,0.00920971506583873
2000 Q4,2,4.66666666666667,13,-0.666666666666667,-6,-0.333333333333333,182154,-0.00234415221653832
2001 Q1,1.33333333333333,4.33333333333333,14.3333333333333,0,-5,-6,182644,-0.000929906899909197
2001 Q2,0,5.66666666666667,12.6666666666667,-5.66666666666667,-7,-6,184520,0.00897314617862084
2001 Q3,-0.333333333333333,6,12.6666666666667,-3.33333333333333,-4,-11.6666666666667,183970,0.00349644627963934
2001 Q4,-1.66666666666667,8.66666666666667,15,-4.33333333333333,-4.66666666666667,-23.6666666666667,182830,0.00371114551423521
2002 Q1,1.66666666666667,6,16.6666666666667,-2,2,-14.3333333333333,186090,0.0188673047020433
2002 Q2,2.33333333333333,8.33333333333333,13,-3.33333333333333,0.333333333333333,-7.33333333333333,185006,0.00263386082809452
2002 Q3,1,6,14,-5.33333333333333,-2.33333333333333,-8.66666666666667,186506,0.0137848562265587
2002 Q4,0,5,15,-7.33333333333333,-4.33333333333333,-9,186918,0.0223595689985232
2003 Q1,-0.333333333333333,4.66666666666667,12.6666666666667,-10.3333333333333,-8,-0.666666666666667,185993,-0.000521253157074534
2003 Q2,0,7.66666666666667,15,-12.3333333333333,-4,-5.66666666666667,186788,0.00963212003935007
2003 Q3,0.666666666666667,6,12.3333333333333,-7.33333333333333,-0.666666666666667,-7.66666666666667,188301,0.00962435524862471
2003 Q4,1.66666666666667,5.66666666666667,15,-8,0.333333333333333,-4.33333333333333,191310,0.0234969344846403
2004 Q1,3.33333333333333,7,15.3333333333333,-4.33333333333333,4.33333333333333,-6.66666666666667,193460,0.0401466721865877
2004 Q2,7.66666666666667,12.3333333333333,16.6666666666667,7,7.66666666666667,-5.66666666666667,194199,0.0396759963166799
2004 Q3,8.33333333333333,13.3333333333333,15,9.33333333333333,5.66666666666667,-3,198414,0.053706565551962
2004 Q4,7.33333333333333,12.3333333333333,14.3333333333333,10,4,-4.33333333333333,203371,0.0630442736919136
2005 Q1,8.23333333333333,12.7,16.1,12.2666666666667,6.2,-5.9,200057,0.0341000723663807
2005 Q2,6.9,11,15.6666666666667,13.4666666666667,3.73333333333333,-9.36666666666667,205312,0.0572248054830354
2005 Q3,9.9,12.5666666666667,14.0333333333333,19.6,5.8,-2.63333333333333,208344,0.0500468716925217
2005 Q4,10.2333333333333,13.1666666666667,15.0333333333333,21,7.1,-5.06666666666667,207344,0.0195357253492386
2006 Q1,12.5666666666667,13.7,16.3666666666667,24.3,8.7,-0.0333333333333333,211247,0.0559340587932439
2006 Q2,10.7,14.5,15.6333333333333,23.5333333333333,4.63333333333333,-4.76666666666667,213341,0.039106335723192
2006 Q3,9.43333333333333,13.9,13.7666666666667,23.9,3.43333333333333,-7.86666666666667,209130,0.00377260684252966
2006 Q4,9.13333333333333,14.2,15.1,22.7666666666667,4.23333333333333,-10.6,211412,0.01961956941122
2007 Q1,9.93333333333333,12.4666666666667,16.9666666666667,23.4,5.43333333333333,-8.73333333333333,212879,0.0077255534989846
2007 Q2,8.6,12.8,16.2666666666667,17.4333333333333,4.5,-8.1,212572,-0.00360455796119827
2007 Q3,6.46666666666667,13.1,17.3666666666667,13.3,1.66666666666667,-12.9666666666667,215171,0.0288863386410367
2007 Q4,4.8,8.66666666666667,15.4,10.4333333333333,0.766666666666667,-11.3333333333333,217758,0.0300172175657011
2008 Q1,-1.63333333333333,4.4,13.8666666666667,-1.26666666666667,-11.4666666666667,-13.7666666666667,218820,0.0279078725473156
2008 Q2,-4.4,6.76666666666667,12.6333333333333,-7.6,-16.3666666666667,-17.3333333333333,218366,0.0272566471595506
2008 Q3,-11,3.76666666666667,10.3,-21.5,-21.6333333333333,-25.9333333333333,214786,-0.00178927457696437
2008 Q4,-13.8666666666667,0.1,12.3333333333333,-39.1,-9.73333333333333,-32.8,207249,-0.0482599950403659
2009 Q1,-10.7,0.766666666666667,12.4666666666667,-47.8333333333333,-2.63333333333333,-16.3666666666667,204833,-0.0639201169911343
2009 Q2,-4.86666666666667,0.5,14.1333333333333,-44.1333333333333,12.0666666666667,-6.83333333333333,206773,-0.0530897667219256
2009 Q3,-2.3,-0.2,13.9666666666667,-40.4,19.3333333333333,-4.26666666666667,206668,-0.0377957595001536
2009 Q4,-2.3,-0.6,13.4666666666667,-35.4,16.2333333333333,-5.06666666666667,205855,-0.00672620857036705
2010 Q1,0.633333333333333,0.6,15.2666666666667,-25,17.1666666666667,-4.96666666666667,208918,0.0199430755786421
2010 Q2,1.9,1.76666666666667,13.3333333333333,-16.0333333333333,15.9333333333333,-5.36666666666667,206848,0.000362716602264319
