"date","fti","fam_year_ago","fam_next_year","Dk_year_ago","Dk_next_year","goods"
"2014Q2",7.53333333333333,1.03333333333333,11.1333333333333,11.7,20.1,-6.23333333333333
"2014Q3",9.7,3.3,14.2666666666667,15.3666666666667,22.4333333333333,-6.7
"2014Q4",6.83333333333333,4.36666666666667,13.6666666666667,11.4666666666667,14.6666666666667,-10
"2015Q1",10.6666666666667,6.03333333333333,14.3,15.3333333333333,19.9333333333333,-2.16666666666667
"2015Q2",12.1666666666667,5.13333333333333,15.1,20.1333333333333,23.2333333333333,-2.66666666666667
"2015Q3",7.9,5.76666666666667,13.1,15.4666666666667,11.4,-6.46666666666667
"2015Q4",4.9,5.33333333333333,12.1333333333333,9.83333333333333,5.76666666666667,-8.6
"2016Q1",4.06666666666667,4.73333333333333,11.6333333333333,8.5,1.03333333333333,-5.6
"2016Q2",4.36666666666667,5.86666666666667,12.5333333333333,5.96666666666667,3.43333333333333,-5.86666666666667
"2016Q3",3.23333333333333,5.5,11,4.9,0.133333333333333,-5.4
"2016Q4",0.6,2.63333333333333,10.6333333333333,1.13333333333333,-3.46666666666667,-7.9
"2017Q1",5.16666666666667,4.53333333333333,13.7333333333333,7.63333333333333,4.83333333333333,-5.03333333333333
"2017Q2",6.76666666666667,4.8,13.0666666666667,12.6666666666667,10.3333333333333,-6.9
"2017Q3",8.46666666666667,7.06666666666667,14.5,15.2,11.9333333333333,-6.33333333333333
"2017Q4",7.06666666666667,7.3,13.8333333333333,13.8333333333333,7.93333333333333,-7.6
"2018Q1",8.4,6.2,15.3,17.1,9.86666666666667,-6.46666666666667
"2018Q2",9,6.16666666666667,13.2666666666667,19.5333333333333,11.9,-6
"2018Q3",8.13333333333333,7.43333333333333,14.5,15.6333333333333,8,-5.03333333333333
"2018Q4",4.1,5.26666666666667,11.6333333333333,8.63333333333333,2.83333333333333,-7.76666666666667
"2019Q1",3.66666666666667,5.56666666666667,12.8,6.36666666666667,-0.133333333333333,-6.33333333333333
"2019Q2",5.13333333333333,9.2,12.8666666666667,8.03333333333333,2.93333333333333,-7.4
"2019Q3",4.5,8.63333333333333,12.9,9.76666666666667,-3.86666666666667,-4.96666666666667
"2019Q4",1.86666666666667,6.93333333333333,12.2666666666667,4.4,-4.86666666666667,-9.5
"2020Q1",2.73333333333333,6.6,12.5333333333333,6.4,-4.06666666666667,-7.9
"2020Q2",-7.93333333333333,4.93333333333333,8.3,-30.9,-9.53333333333333,-12.4333333333333
"2020Q3",-5.26666666666667,3.13333333333333,11.3666666666667,-29.3666666666667,-2.23333333333333,-9.4
"2020Q4",-5.86666666666667,4.03333333333333,11.2333333333333,-29.6333333333333,-8.66666666666667,-6.5
"2021Q1",-4.76666666666667,4.96666666666667,12.3666666666667,-33.4,-2.6,-5.23333333333333
"2021Q2",1.33333333333333,6.06666666666667,13.3,-18.4,8.76666666666667,-3.23333333333333
"2021Q3",5.06666666666667,8.1,13.6333333333333,1.63333333333333,10.6333333333333,-8.63333333333333
"2021Q4",-0.266666666666667,1.86666666666667,8.43333333333333,1.8,0.933333333333333,-14.3333333333333
"2022Q1",-6.36666666666667,-0.0333333333333334,2.66666666666667,-9.9,-9.56666666666667,-15
"2022Q2",-22.7,-15.3333333333333,-7.43333333333333,-36.3333333333333,-22.9666666666667,-31.3666666666667
"2022Q3",-25.35,-21.4,-5.9,-46.9,-18.35,-34.2
