"date","fti","fam_year_ago","fam_next_year","Dk_year_ago","Dk_next_year","goods"
"2000Q1",-0.666666666666667,2.33333333333333,13,-3.33333333333333,-8,-6.33333333333333
"2000Q2",4.33333333333333,7.33333333333333,15,2,-0.666666666666667,-2
"2000Q3",3,6.33333333333333,15,1.66666666666667,-1,-8
"2000Q4",2,4.66666666666667,13,-0.666666666666667,-6,-0.333333333333333
"2001Q1",1.33333333333333,4.33333333333333,14.3333333333333,0,-5,-6
"2001Q2",0,5.66666666666667,12.6666666666667,-5.66666666666667,-7,-6
"2001Q3",-0.333333333333333,6,12.6666666666667,-3.33333333333333,-4,-11.6666666666667
"2001Q4",-1.66666666666667,8.66666666666667,15,-4.33333333333333,-4.66666666666667,-23.6666666666667
"2002Q1",1.66666666666667,6,16.6666666666667,-2,2,-14.3333333333333
"2002Q2",2.33333333333333,8.33333333333333,13,-3.33333333333333,0.333333333333333,-7.33333333333333
"2002Q3",1,6,14,-5.33333333333333,-2.33333333333333,-8.66666666666667
"2002Q4",0,5,15,-7.33333333333333,-4.33333333333333,-9
"2003Q1",-0.333333333333333,4.66666666666667,12.6666666666667,-10.3333333333333,-8,-0.666666666666667
"2003Q2",0,7.66666666666667,15,-12.3333333333333,-4,-5.66666666666667
"2003Q3",0.666666666666667,6,12.3333333333333,-7.33333333333333,-0.666666666666667,-7.66666666666667
"2003Q4",1.66666666666667,5.66666666666667,15,-8,0.333333333333333,-4.33333333333333
"2004Q1",3.33333333333333,7,15.3333333333333,-4.33333333333333,4.33333333333333,-6.66666666666667
"2004Q2",7.66666666666667,12.3333333333333,16.6666666666667,7,7.66666666666667,-5.66666666666667
"2004Q3",8.33333333333333,13.3333333333333,15,9.33333333333333,5.66666666666667,-3
"2004Q4",7.33333333333333,12.3333333333333,14.3333333333333,10,4,-4.33333333333333
"2005Q1",8.23333333333333,12.7,16.1,12.2666666666667,6.2,-5.9
"2005Q2",6.9,11,15.6666666666667,13.4666666666667,3.73333333333333,-9.36666666666667
"2005Q3",9.9,12.5666666666667,14.0333333333333,19.6,5.8,-2.63333333333333
"2005Q4",10.2333333333333,13.1666666666667,15.0333333333333,21,7.1,-5.06666666666667
"2006Q1",12.5666666666667,13.7,16.3666666666667,24.3,8.7,-0.0333333333333333
"2006Q2",10.7,14.5,15.6333333333333,23.5333333333333,4.63333333333333,-4.76666666666667
"2006Q3",9.43333333333333,13.9,13.7666666666667,23.9,3.43333333333333,-7.86666666666667
"2006Q4",9.13333333333333,14.2,15.1,22.7666666666667,4.23333333333333,-10.6
"2007Q1",9.93333333333333,12.4666666666667,16.9666666666667,23.4,5.43333333333333,-8.73333333333333
"2007Q2",8.6,12.8,16.2666666666667,17.4333333333333,4.5,-8.1
"2007Q3",6.46666666666667,13.1,17.3666666666667,13.3,1.66666666666667,-12.9666666666667
"2007Q4",4.8,8.66666666666667,15.4,10.4333333333333,0.766666666666667,-11.3333333333333
"2008Q1",-1.63333333333333,4.4,13.8666666666667,-1.26666666666667,-11.4666666666667,-13.7666666666667
"2008Q2",-4.4,6.76666666666667,12.6333333333333,-7.6,-16.3666666666667,-17.3333333333333
"2008Q3",-11,3.76666666666667,10.3,-21.5,-21.6333333333333,-25.9333333333333
"2008Q4",-13.8666666666667,0.1,12.3333333333333,-39.1,-9.73333333333333,-32.8
"2009Q1",-10.7,0.766666666666667,12.4666666666667,-47.8333333333333,-2.63333333333333,-16.3666666666667
"2009Q2",-4.86666666666667,0.5,14.1333333333333,-44.1333333333333,12.0666666666667,-6.83333333333333
"2009Q3",-2.3,-0.2,13.9666666666667,-40.4,19.3333333333333,-4.26666666666667
"2009Q4",-2.3,-0.6,13.4666666666667,-35.4,16.2333333333333,-5.06666666666667
"2010Q1",0.633333333333333,0.6,15.2666666666667,-25,17.1666666666667,-4.96666666666667
"2010Q2",1.9,1.76666666666667,13.3333333333333,-16.0333333333333,15.9333333333333,-5.36666666666667
"2010Q3",3.6,1.8,12.6666666666667,-6.63333333333333,15.3,-5.26666666666667
"2010Q4",1.16666666666667,0.6,12.3333333333333,-11.1333333333333,11.9,-7.8
"2011Q1",0.666666666666667,0.366666666666667,10.0666666666667,-7.76666666666667,9.53333333333333,-8.96666666666667
"2011Q2",2.53333333333333,0.0666666666666667,11.4666666666667,-2.26666666666667,13.3666666666667,-9.9
"2011Q3",-2.13333333333333,-1.33333333333333,8.76666666666667,-13.6666666666667,4.8,-9.16666666666667
"2011Q4",-8.53333333333333,-4.56666666666667,4.43333333333333,-22.0333333333333,-9.56666666666667,-10.9666666666667
"2012Q1",-4.06666666666667,-3.7,8.06666666666667,-18.4,2.4,-8.7
"2012Q2",-0.8,-3.6,7.83333333333333,-6.96666666666667,8.76666666666667,-10.0333333333333
"2012Q3",-0.7,0.266666666666667,7.73333333333333,-10.5666666666667,5.63333333333333,-6.53333333333333
"2012Q4",-3.83333333333333,-4.3,8.26666666666667,-14.5333333333333,3.06666666666667,-11.6333333333333
"2013Q1",-2.26666666666667,-2.5,8.56666666666667,-10.9,5.36666666666667,-11.7
"2013Q2",-0.666666666666667,-1.76666666666667,9.73333333333333,-6.33333333333333,8.66666666666667,-13.6666666666667
"2013Q3",4.76666666666667,-0.366666666666667,10.5333333333333,4.73333333333333,16.2666666666667,-7.23333333333333
"2013Q4",3.83333333333333,-1.13333333333333,9.9,5.93333333333333,16.1666666666667,-11.7
"2014Q1",5.16666666666667,-0.833333333333333,10.1666666666667,7.9,17.4,-8.73333333333333
